Symbol  Fold_change  Padj
ATP6V1B1	14.17	0.0193
ATP6AP1	11.16	0
PDLIM7	18.82	0
GPM6B	1.68	0.0391
SUCO	1.97	0.0016
MINPP1	8.21	0
OSTF1	1.36	0.0018
IGF2	27.15	0.0018
EXT2	3.09	1.00E-05
TCIRG1	21.9	0
SUN1	3.75	0
FOXC2	1.45	0.0179
PAM16	3.52	0
PHOSPHO1	8	0.0513
MATN1	38.01	0.0009
CYP27B1	6.1	0.0016
TXLNG	2.2	0.0003
BGLAP	3.88	0
MAPK3	2.16	0.0255
EGR2	32.4	0
DHRS3	2.42	0
SIX2	9.72	0
PTGER4	7.6	0
NOTCH1	10.19	0.0002
TGFB1	4.6	0
ADRB2	16.4	0
WNT16	1.57	0.0202
LRP5	8.34	0
LTBP3	15.49	1.00E-05
RAB7A	3.82	0
NCDN	6.43	0
TCIRG1	21.9	0
GDF5	17.4	0
RXRA	1.87	0.008
GREM1	1.83	0.0321
TFAP2A	2.36	0.0011
ISG15	2.58	0.0368
ATP2B1	2.1	0.0058
OSR1	99.7	0
OSR2	2.31	0.0075
DKK1	1.65	0.0215
TRPM4	3.86	7.00E-05
FAM20C	2.79	0.0008
TMEM119	3.15	0.0001
MDK	18.19	0
GPM6B	1.68	0.0391
TNFAIP3	3.92	0
CSK	12.1	0
UBASH3B	2.06	0.0004
